Company, Move
Acer,"Тайваньский производитель компьютерной техники Acer временно прекращает свою деятельность на территории РФ из-за ситуации вокруг Украины — заявление
"
Adobe,"Компания Adobe прекращает все новые продажи продуктов и услуг в России, сообщил генеральный директор Adobe Шантану Нарайен в корпоративном блоге компании. По его словам, оформленные ранее подписки продолжат действовать до истечения срока, но продлить их нельзя.
"
Adidas,"Adidas пока не планирует возобновлять коммерческую деятельность в россии, сообщила тасс представитель компании.
"
Airbnb,"Airbnb убрала возможность бронирования для пользователей из РФ и Белоруссии — компания
"
Airbus,"Авиастроительная компания Airbus призвала страны Запада не вводить эмбарго на российский титан  В концерне считают, что подобные ограничения принесут большой ущерб западной промышленности, едва затронув российскую экономику. 
"
Amazon,"Одна из крупнейших компаний США Amazon прекращает отправку товаров в Россию
"
AMD,"AMD приостановили поставки своей продукции в Россию и Белоруссию
"
American Express,"American Express приостанавливает осуществление операций в России
"
ASOS,"Компания ASOS прекращает доставку своей продукции в Россию
"
ASUS,"Компания ASUS решила закрыть бизнес в России
"
Autodesk,"Крупнейший разработчик программного обеспечения для строительства и машиностроения Autodesk приостанавливает работу в России из-за военной операции на Украине
"
Avast,"Чешская компания Avast, разрабатывающая программное обеспечение в области информационной безопасности, сделала недоступными свои продукты в России и Белоруссии.
"
Avito,"Avito вышла из OLX Group, частью которой был с 2013 года, и займется развитием собственного бизнеса Компания продолжит свою работу в России под управлением действующей команды топ-менеджеров и собственным советом директоров. Авито изначально работал по отличной от OLX модели – отдельный бренд, технологическая платформа, много вертикалей, один рынок. Компания заявила, что не нуждается в финансировании и будет реинвестировать собственные средства в развитие всех категорий бизнес – Недвижимость, Услуги, Товары, Авто и Работа.
"
Badoo,"Сайт знакомств Badoo прекратил работу в России и Белоруссии
"
Baker Hughes,"Американская Baker Hughes продает нефтесервисный бизнес в России местному руководству, сделку планирует закрыть до конца года
"
Bernard,"Поставки пива в Россию из-за событий на Украине прекратили Bernard Budvar - крупнейшие производители в Чехии, пишет местная газета «Лидове новины»
"
Binance,"Криптобиржа Binance ограничит доступ пользователей из России, пишет РБК. Ограничения коснутся всех российских клиентов площадки, общая стоимость криптоактивов которых превышает €10 тыс. Они смогут только выводить средства.
"
